,movie_name,released_year,duration,certificate_type,rating,rating_count,directors,writers,actors
46,Casablanca,1942,1h 42m,PG,8.5,607K,['Michael Curtiz '],"['Julius J. Epstein ', 'Philip G. Epstein ', 'Howard Koch ']","['Humphrey Bogart ', 'Ingrid Bergman ', 'Paul Henreid ']"
47,The Intouchables,2011,1h 52m,R,8.5,931K,"['Olivier Nakache ', 'Éric Toledano ']","['Olivier Nakache ', 'Éric Toledano ', 'Philippe Pozzo di Borgo ']","['François Cluzet ', 'Omar Sy ', 'Anne Le Ny ']"
48,Cinema Paradiso,1988,2h 54m,PG,8.5,283K,['Giuseppe Tornatore '],"['Giuseppe Tornatore ', 'Vanna Paoli ']","['Philippe Noiret ', 'Enzo Cannavale ', 'Antonella Attili ']"
49,Modern Times,1936,1h 27m,G,8.5,260K,['Charles Chaplin '],['Charles Chaplin '],"['Charles Chaplin ', 'Paulette Goddard ', 'Henry Bergman ']"
50,Rear Window,1954,1h 52m,PG,8.5,523K,['Alfred Hitchcock '],"['John Michael Hayes ', 'Cornell Woolrich ']","['James Stewart ', 'Grace Kelly ', 'Wendell Corey ']"
51,Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,349K,['Sergio Leone '],"['Sergio Donati ', 'Sergio Leone ', 'Dario Argento ']","['Henry Fonda ', 'Charles Bronson ', 'Claudia Cardinale ']"
52,Alien,1979,1h 57m,R,8.5,952K,['Ridley Scott '],"[""Dan O'Bannon "", 'Ronald Shusett ']","['Sigourney Weaver ', 'Tom Skerritt ', 'John Hurt ']"
53,City Lights,1931,1h 27m,G,8.5,196K,['Charles Chaplin '],"['Charles Chaplin ', 'Harry Carr ', 'Harry Crocker ']","['Charles Chaplin ', 'Virginia Cherrill ', 'Florence Lee ']"
54,Django Unchained,2012,2h 45m,R,8.5,1.7M,['Quentin Tarantino '],['Quentin Tarantino '],"['Jamie Foxx ', 'Christoph Waltz ', 'Leonardo DiCaprio ']"
55,Apocalypse Now,1979,2h 27m,R,8.4,711K,['Francis Ford Coppola '],"['John Milius ', 'Francis Ford Coppola ', 'Michael Herr ']","['Martin Sheen ', 'Marlon Brando ', 'Robert Duvall ']"
